id_film,titre_film,duree,genres_liste,date_sortie,utilisateur_note,nbre_utilisateur_note
['2557478'],Pacific Rim: Uprising,111 min,"Action, Adventure, Fantasy            ",(2018),5.6,"118,235"
['4131496'],The Vanishing,107 min,"Drama, Mystery, Thriller            ",(II) (2018),5.9,"17,591"
['7125860'],If Beale Street Could Talk,119 min,"Drama, Romance            ",(2018),7.1,"49,257"
['7959026'],The Mule,116 min,"Crime, Drama, Thriller            ",(2018),7.0,"138,153"
['5848272'],Ralph Breaks the Internet,112 min,"Animation, Adventure, Comedy            ",(2018),7.0,"161,778"
['4500922'],Maze Runner: The Death Cure,143 min,"Action, Adventure, Sci-Fi            ",(2018),6.2,"141,140"
['2548396'],The Cloverfield Paradox,102 min,"Action, Horror, Sci-Fi            ",(2018),5.5,"106,016"
['3846674'],To All the Boys I've Loved Before,99 min,"Comedy, Drama, Romance            ",(2018),7.0,"108,558"
['1318517'],The Man Who Killed Don Quixote,132 min,"Adventure, Comedy, Drama            ",(2018),6.3,"20,187"
['8574252'],Manyeo,125 min,"Action, Mystery, Sci-Fi            ",(2018),7.1,"12,674"
['1289403'],The Guernsey Literary and Potato Peel Pie Society,124 min,"Drama, Romance, War            ",(2018),7.3,"47,233"
['5220122'],Hotel Transylvania 3: Summer Vacation,97 min,"Animation, Adventure, Comedy            ",(2018),6.3,"74,994"
['1137450'],Death Wish,107 min,"Action, Crime, Drama            ",(2018),6.3,"72,756"
['3892172'],Leave No Trace,109 min,"Adventure, Drama            ",(2018),7.1,"60,286"
['5989218'],Life Itself,117 min,"Drama, Romance            ",(2018),6.8,"22,276"
['6237612'],Accident Man,105 min,"Action, Crime, Thriller            ",(2018),6.2,"10,746"
['6306064'],Adrift,96 min,"Action, Adventure, Biography            ", (2018),6.6,"57,381"
['5580266'],The Hate U Give,133 min,"Crime, Drama            ",(2018),7.5,"36,780"
['7280898'],22 July,143 min,"Crime, Drama, History            ",(2018),6.8,"34,440"
['6494418'],Siberia,104 min,"Crime, Romance, Thriller            ",(2018),4.3,"15,786"
['6217306'],Apostle,130 min,"Drama, Fantasy, Horror            ",(2018),6.3,"53,737"
['1563742'],Overboard,112 min,"Comedy, Romance            ",(2018),6.0,"38,945"
['8954732'],The Princess Switch,101 min,"Comedy, Drama, Family            ",(2018),6.0,"28,418"
['6663582'],The Spy Who Dumped Me,117 min,"Action, Adventure, Comedy            ",(2018),6.0,"78,276"
['4799066'],Midnight Sun,91 min,"Drama, Romance            ",(2018),6.6,"31,942"
['4006302'],Level 16,102 min,"Drama, Mystery, Sci-Fi            ",(2018),6.1,"12,533"
['2677722'],City of Lies,112 min,"Biography, Crime, Drama            ",(2018),6.5,"15,556"
['7014006'],Eighth Grade,93 min,"Comedy, Drama            ",(2018),7.4,"76,321"
['6491178'],Dragged Across Concrete,158 min,"Action, Thriller            ",(2018),6.9,"47,002"
['6081670'],Possum,85 min,"Drama, Horror, Mystery            ",(2018),5.8,"6,743"
['4575576'],Christopher Robin,104 min,"Adventure, Comedy, Drama            ",(2018),7.2,"78,544"
['6288124'],"Don't Worry, He Won't Get Far on Foot",114 min,"Biography, Comedy, Drama            ",(2018),6.8,"27,524"
['5311542'],Werk ohne Autor,189 min,"Biography, Drama, Romance            ",(2018),7.7,"21,800"
['2386237'],Malevolent,89 min,"Horror, Mystery, Thriller            ",(III) (2018),4.8,"14,555"
['8075192'],Manbiki kazoku,121 min,"Crime, Drama, Thriller            ",(2018),7.9,"77,062"
['1620680'],A Wrinkle in Time,109 min,"Adventure, Family, Fantasy            ",(2018),4.2,"45,352"
['5461944'],Hotel Mumbai,123 min,"Action, Drama, History            ",(2018),7.6,"64,705"
['4463816'],Terminal,95 min,"Comedy, Crime, Drama            ", (2018),5.3,"22,946"
['5859882'],Vita & Virginia,110 min,"Biography, Drama, Romance            ",(2018),5.8,"4,089"
['7008872'],Boy Erased,115 min,"Biography, Drama            ",(2018),6.9,"39,177"
['5501104'],Gräns,110 min,"Crime, Drama, Fantasy            ",(2018),7.0,"30,577"
['1759744'],Charlie Says,110 min,"Biography, Crime, Drama            ",(2018),5.9,"4,797"
['2639336'],Greta,98 min,"Drama, Mystery, Thriller            ",(2018),6.0,"34,381"
['1273221'],London Fields,118 min,"Crime, Mystery, Thriller            ",(2018),3.9,"11,241"
['6908274'],Durante la tormenta,128 min,"Drama, Fantasy, Mystery            ",(2018),7.4,"56,593"
['8108198'],Andhadhun,139 min,"Comedy, Crime, Music            ",(2018),8.2,"93,667"
['7205316'],MILF,101 min,Comedy            ,(2018),4.8,"6,468"
['5690360'],Slender Man,93 min,"Horror, Mystery, Thriller            ",(2018),3.2,"34,841"
['5834262'],Hotel Artemis,94 min,"Action, Crime, Drama            ",(2018),6.1,"54,155"
['6850820'],Peppermint,101 min,"Action, Thriller            ",(2018),6.4,"65,550"
['6865690'],The Professor,90 min,"Comedy, Drama            ", (2018),6.7,"33,159"
['5117670'],Peter Rabbit,95 min,"Adventure, Comedy, Crime            ",(2018),6.6,"43,497"
['5208252'],Operation Finale,122 min,"Biography, Drama, History            ",(2018),6.6,"43,113"
['6212478'],American Animals,116 min,"Biography, Crime, Drama            ",(2018),7.0,"45,436"
['7453418'],Nekrotronic,99 min,"Action, Comedy, Horror            ",(2018),5.6,"3,160"
['3201640'],Extinction,95 min,"Action, Drama, Sci-Fi            ",(2018),5.8,"53,503"
['2388771'],Mowgli,104 min,"Adventure, Drama, Fantasy            ",(2018),6.5,"62,485"
['2531344'],Blockers,102 min,"Comedy, Drama            ",(2018),6.2,"80,225"
['6257174'],The Miseducation of Cameron Post,91 min,"Comedy, Drama            ",(2018),6.6,"23,106"
['7525778'],The Package,94 min,"Comedy, Thriller            ",(II) (2018),5.6,"18,635"
['8055888'],Mard Ko Dard Nahin Hota,134 min,"Action, Comedy            ",(2018),7.3,"8,148"
['5179598'],Billionaire Boys Club,108 min,"Biography, Drama, Thriller            ",(2018),5.6,"13,459"
['7690016'],Never Goin' Back,85 min,"Comedy, Crime, Drama            ",(2018),6.0,"3,216"
['2011311'],The Outsider,120 min,"Action, Crime, Drama            ", (2018),6.2,"26,413"
['4642192'],Trautmann,120 min,"Biography, Drama, Romance            ",(2018),7.2,"5,418"
['7772580'],The Perfection,90 min,"Drama, Horror, Music            ",(2018),6.2,"44,173"
['5783956'],When We First Met,97 min,"Comedy, Fantasy, Romance            ",(2018),6.4,"49,895"
['5952138'],We Have Always Lived in the Castle,95 min,"Drama, Horror, Mystery            ",(2018),5.6,"7,992"
['0360556'],Fahrenheit 451,100 min,"Drama, Sci-Fi, Thriller            ",(2018),4.9,"20,637"
['6781982'],Night School,111 min,Comedy            ,(2018),5.6,"41,371"
['2368254'],A Private War,110 min,"Biography, Drama, War            ",(2018),6.7,"19,686"
['7125774'],Ballon,125 min,"Drama, History, Thriller            ",(2018),7.5,"11,812"
['5397194'],Anon,100 min,"Crime, Mystery, Sci-Fi            ", (2018),6.1,"45,028"
['5758778'],Skyscraper,102 min,"Action, Adventure, Thriller            ",(2018),5.8,"123,275"
['2119543'],The House with a Clock in Its Walls,105 min,"Comedy, Family, Fantasy            ",(2018),6.0,"52,281"
['7241926'],Tell It to the Bees,108 min,"Drama, Romance            ",(2018),6.4,"5,501"
['6205872'],Assassination Nation,108 min,"Action, Comedy, Crime            ",(2018),6.0,"19,886"
['4669296'],Lords of Chaos,118 min,"Biography, Drama, Horror            ",(2018),6.6,"16,372"
['5726086'],Insidious: The Last Key,103 min,"Horror, Mystery, Thriller            ",(2018),5.7,"61,413"
['7236034'],Kimi no suizô o tabetai,109 min,"Animation, Drama, Family            ",(2018),8.0,"17,418"
['6791096'],I Feel Pretty,110 min,"Comedy, Romance            ",(2018),5.6,"54,363"
['1255919'],Holmes & Watson,90 min,"Comedy, Crime, Mystery            ",(2018),3.9,"36,961"
['4154916'],Replicas,107 min,"Drama, Sci-Fi, Thriller            ",(2018),5.4,"38,985"
['5619332'],Life of the Party,105 min,Comedy            , (2018),5.6,"37,553"
['4244998'],Alpha,96 min,"Action, Adventure, Drama            ",(II) (2018),6.6,"63,033"
['6543652'],Zimna wojna,89 min,"Drama, Music, Romance            ",(2018),7.5,"57,513"
['4669788'],On the Basis of Sex,120 min,"Biography, Drama            ",(2018),7.1,"34,905"
['7545524'],Ben Is Back,103 min,Drama            ,(2018),6.7,"22,274"
['4411234'],Slice,83 min,"Comedy, Crime, Fantasy            ",(2018),4.6,"3,273"
['7961060'],Doragon bôru chô: Burorî,100 min,"Animation, Action, Adventure            ",(2018),7.7,"28,156"
['6742252'],Den skyldige,85 min,"Crime, Drama, Thriller            ",(2018),7.5,"59,448"
['4878482'],Dumplin',110 min,"Comedy, Drama            ",(2018),6.5,"34,443"
['5789976'],King of Thieves,108 min,"Biography, Crime, Drama            ",(2018),5.5,"14,935"
['6938828'],At Eternity's Gate,111 min,"Biography, Drama, History            ",(2018),6.9,"35,618"
